0.00781703 0.873318 0.145952 8.53698 0.0170448 -0.0149142 0.009055020.0105,-0.0005,0.0714,0.70932,0.02973,0.03176,-0.70354
0.106868 0.86614 0.169878 8.57048 0.019708 -0.0143815 0.004793840.0106,-0.0004,0.0713,0.7093,0.02907,0.0315,-0.7036
0.207011 0.928349 0.133988 8.5944 0.0165121 -0.0138489 0.01118560.0108,-0.0003,0.0716,0.70875,0.03051,0.03168,-0.70409
0.3069 0.964238 0.1627 8.62551 0.0175774 -0.0101203 0.007989730.0105,-0.0004,0.0715,0.70945,0.02996,0.03153,-0.70341
0.406796 0.935527 0.155522 8.54416 0.0165121 -0.0170448 0.008522380.0107,-0.0005,0.0714,0.70882,0.02983,0.03113,-0.70407
0.50677 0.973809 0.136381 8.57287 0.0202406 -0.0133162 0.01118560.0107,-0.0003,0.0715,0.70904,0.03024,0.03109,-0.70384
0.605446 1.01209 0.0765648 8.53459 0.0202406 -0.0122509 0.006924430.0107,-0.0004,0.0715,0.70909,0.02962,0.03092,-0.70382
0.705783 0.945097 0.160308 8.58244 0.0186427 -0.010653 0.009587670.0108,-0.0002,0.0717,0.70957,0.03043,0.03085,-0.7033
0.805399 0.964238 0.189019 8.5298 0.0154468 -0.01811 0.008522380.0108,-0.0003,0.0718,0.70926,0.03066,0.03126,-0.70359
0.905513 0.976202 0.165093 8.54655 0.01811 -0.0159795 0.01012030.0107,-0.0003,0.0714,0.70836,0.03147,0.03119,-0.70446
1.00544 0.887674 0.165093 8.64704 0.0213059 -0.0154468 0.01012030.0106,-0.0004,0.0715,0.70952,0.03017,0.03082,-0.70337
1.1054 0.83025 0.0980987 8.58005 0.0149142 -0.0133162 0.009587670.0106,-0.0004,0.0716,0.70962,0.02955,0.03139,-0.70327
1.20551 0.87571 0.110062 8.54894 0.0170448 -0.0159795 0.004793840.0106,-0.0003,0.0718,0.7103,0.03115,0.03077,-0.70254
1.30542 0.964238 0.1627 8.53698 0.0170448 -0.0143815 0.009587670.0107,-0.0004,0.0714,0.70896,0.02997,0.03082,-0.70394
1.40557 0.942705 0.141166 8.55134 0.01811 -0.0159795 0.007989730.0105,-0.0004,0.0715,0.7099,0.02969,0.0316,-0.70297
1.50553 0.985772 0.155522 8.5298 0.0186427 -0.0133162 0.009055020.0108,-0.0003,0.0714,0.70916,0.03023,0.03125,-0.7037
1.6054 1.1054 0.27037 8.36471 0.0143815 -0.0165121 0.01278360.0106,-0.0004,0.0714,0.70895,0.02932,0.03168,-0.70393
1.70541 0.925956 0.141166 8.59919 0.0149142 -0.0159795 0.007457080.0108,-0.0002,0.0719,0.7097,0.03027,0.03189,-0.70314
1.80545 0.878103 0.0885281 8.5968 0.0191753 -0.0143815 0.005326480.0106,-0.0003,0.0715,0.70994,0.03051,0.0312,-0.70291
1.90545 0.87571 0.131596 8.659 0.0175774 -0.0149142 0.007989730.0108,-0.0002,0.0714,0.70832,0.02904,0.03229,-0.70456
2.00542 0.882888 0.110062 8.54655 0.0165121 -0.01811 0.01278360.0107,-0.0004,0.0715,0.70899,0.02976,0.03167,-0.70388
2.10542 0.894852 0.191412 8.54416 0.0159795 -0.0159795 0.006924430.011,-0.0003,0.0716,0.70835,0.02956,0.03176,-0.70453
2.20578 0.952275 0.110062 8.55851 0.01811 -0.0127836 0.006924430.0106,-0.0004,0.0715,0.71042,0.03017,0.03102,-0.70244
