t x_meas y_meas z_meas q0_meas q1_meas q2_meas q3_meas ax_meas ay_meas az_meas wx_meas wy_meas wz_meas x y z q0 q1 q2 q3 vx vy vz ax ay az wx wy wz Fd u1 u2 u3 u4 M1 M2 M3 qdes0 qdes1 qdes2 qdes3
6.959406 0.882200 0.006100 0.435100 0.905940 -0.088370 -0.085820 -0.405090 2.806580 -0.626875 9.405512 0.042079 -0.153403 -0.007990 0.881590 0.006476 0.435004 0.907206 -0.086395 -0.086373 -0.402558 0.056120 -0.005425 -0.009206 0.000000 0.000000 0.000000 0.009340 -0.143665 -0.085645 9.541961 3.366280 1.296545 3.814797 1.064340 0.069662 0.134555 0.241010 0.999983 -0.000519 -0.005806 0.000003
6.970079 0.882600 0.006400 0.435200 0.906390 -0.085640 -0.088770 -0.404040 2.598419 -0.500064 8.728391 0.060189 -0.153403 0.021839 0.881965 0.006456 0.435099 0.906932 -0.086224 -0.087029 -0.403071 0.051927 -0.008750 -0.006497 0.000000 0.000000 0.000000 0.007463 -0.133402 -0.061672 9.535950 3.339624 1.322503 3.782253 1.091570 0.069280 0.132789 0.235390 0.999985 -0.000858 -0.005385 0.000005
6.981500 0.882600 0.006900 0.435900 0.906020 -0.087220 -0.092240 -0.403760 2.160564 -0.574236 9.166247 0.065516 -0.105997 0.054330 0.882218 0.006522 0.435272 0.906706 -0.086646 -0.088094 -0.403256 0.045824 -0.010057 -0.009187 0.000000 0.000000 0.000000 0.012745 -0.123094 -0.025286 9.535743 3.296665 1.364328 3.736035 1.138716 0.067683 0.131811 0.226483 0.999988 -0.000991 -0.004762 0.000005
6.991444 0.881600 0.006800 0.436100 0.904900 -0.092940 -0.089110 -0.405680 2.083999 -0.734544 8.584832 0.072440 -0.047938 0.098540 0.882175 0.006564 0.435432 0.906133 -0.088027 -0.088272 -0.404205 0.047893 -0.007629 -0.001684 0.000000 0.000000 0.000000 0.022754 -0.106370 0.012819 9.515030 3.253088 1.402311 3.680068 1.179563 0.066825 0.128094 0.217564 0.999987 -0.000744 -0.004980 0.000004
7.002204 nan nan nan nan nan nan nan 2.414185 -0.715403 8.843239 0.077234 0.014914 0.155533 0.882691 0.006482 0.435414 0.906121 -0.088153 -0.088834 -0.404081 0.048580 -0.004054 -0.001840 0.000000 0.000000 0.000000 0.031141 -0.081658 0.051050 9.511520 3.213080 1.446745 3.621915 1.229780 0.065089 0.122650 0.207923 0.999987 -0.000380 -0.005052 0.000002
7.013175 0.882300 0.007100 0.436300 0.905440 -0.091810 -0.091810 -0.404130 2.330442 -0.937919 8.359923 0.067114 0.063385 0.213592 0.882356 0.006638 0.435687 0.905790 -0.089097 -0.089524 -0.404465 0.038127 -0.000326 0.002439 0.000000 0.000000 0.000000 0.036486 -0.042101 0.091469 9.493933 3.172963 1.489779 3.555512 1.275679 0.064230 0.114765 0.198151 0.999992 0.000001 -0.003988 -0.000000
7.023727 nan nan nan nan nan nan nan 2.579278 -1.110190 9.534715 0.069244 0.094811 0.247149 0.882759 0.006634 0.435713 0.905982 -0.089056 -0.089760 -0.403991 0.034758 -0.003486 -0.002434 0.000000 0.000000 0.000000 0.038647 0.002793 0.132241 9.503595 3.141292 1.542680 3.487440 1.332183 0.063149 0.103844 0.187693 0.999993 -0.000322 -0.003643 0.000001
7.034544 nan nan nan nan nan nan nan 1.988293 -1.131724 9.029865 0.058591 0.141684 0.277510 0.883135 0.006597 0.435687 0.906291 -0.088925 -0.089767 -0.403326 0.029733 -0.002925 -0.000905 0.000000 0.000000 0.000000 0.037617 0.047273 0.172311 9.499918 3.106176 1.593646 3.416606 1.383490 0.063047 0.093129 0.177282 0.999995 -0.000265 -0.003134 0.000001
7.045234 0.882800 0.006800 0.435600 0.906220 -0.088090 -0.092740 -0.403000 1.308780 -1.057552 9.316984 0.045808 0.209863 0.301479 0.882487 0.006777 0.435806 0.905888 -0.089099 -0.090795 -0.403961 0.028577 -0.002195 -0.000635 0.000000 0.000000 0.000000 0.032719 0.093188 0.208350 9.494671 3.079051 1.637144 3.355343 1.423134 0.064203 0.082888 0.168706 0.999995 -0.000189 -0.003013 0.000001
7.055921 nan nan nan nan nan nan nan 1.131724 -0.990558 9.068148 0.053797 0.274847 0.337166 0.882793 0.006753 0.435799 0.906398 -0.088840 -0.090315 -0.402980 0.022990 -0.000899 -0.000313 0.000000 0.000000 0.000000 0.028012 0.139505 0.240573 9.494995 3.055178 1.681910 3.292773 1.465133 0.065033 0.071278 0.160045 0.999997 -0.000057 -0.002445 0.000000
7.066730 0.883400 0.006400 0.434900 0.907520 -0.086540 -0.089400 -0.401160 1.069515 -1.260927 9.879257 0.062853 0.332373 0.373919 0.882590 0.006794 0.435764 0.906122 -0.089240 -0.090912 -0.403379 0.016181 0.002046 -0.001089 0.000000 0.000000 0.000000 0.026776 0.187799 0.269308 9.490364 3.037357 1.715809 3.239534 1.497664 0.065444 0.060653 0.153171 0.999998 0.000243 -0.001749 -0.000000
