t,ax,ay,az,wx,wy wz,x,y,z,q1,q2,q3,q4
4.10529,1.02405,4.06511,8.48195,-0.846911,0.0010653,-0.926808,-0.0776,-0.0221,1.1375,0.99932,-0.00471,0.00661,-0.03598
4.20516,1.85191,2.82811,9.44619,-1.05837,0.470329,-0.784059,-0.0628,-0.0315,1.1356,0.999,-0.02091,0.00512,-0.0392
4.30521,2.7994,1.05277,9.58735,-1.96281,0.283902,-0.330775,-0.0456,-0.0414,1.1359,0.99845,-0.03616,0.01181,-0.04067
4.40518,1.7251,-1.40449,8.5298,-1.75667,0.244486,0.340895,-0.0262,-0.0532,1.1359,0.99765,-0.05214,0.01094,-0.04313
4.50554,1.6294,-3.01713,7.52728,-1.2432,0.118781,0.468198,-0.0047,-0.0664,1.1383,0.99629,-0.07335,0.00563,-0.04475
4.6052,1.09823,-3.69186,6.98893,-1.0392,0.037818,0.189623,0.0196,-0.0811,1.1414,0.9942,-0.09667,0.00448,-0.04688
4.70516,1.3686,-3.68229,5.60598,-0.526257,-0.14488,0.744643,0.0459,-0.0964,1.1465,0.99122,-0.12186,-0.00159,-0.05128
4.80518,-0.619697,-5.02457,6.52237,-0.519865,0.399486,0.961963,0.0747,-0.1124,1.1549,0.98719,-0.14852,-0.00259,-0.05815
4.90543,-1.0097,-6.23764,7.4244,-0.390431,0.0729728,1.35825,0.1059,-0.1284,1.1671,0.98125,-0.18176,-0.00943,-0.06349
5.00518,-1.52651,-5.33322,7.12292,-0.133695,-0.119846,1.1175,0.139,-0.1438,1.1809,0.97303,-0.21911,-0.01525,-0.07046
5.1052,-0.971416,-4.50297,5.83089,0.60136,-0.561944,0.924678,0.1739,-0.1579,1.1971,0.96127,-0.2623,-0.02323,-0.08136
5.20517,-0.985772,-4.3307,6.43623,0.892719,0.028763,1.33801,0.2085,-0.1723,1.2141,0.94642,-0.3092,-0.02141,-0.0907
5.3052,-0.973809,-4.94322,7.82397,0.687117,-0.312665,1.2725,0.2522,-0.1857,1.2347,0.92672,-0.35429,-0.03419,-0.12039
5.4053,-0.846999,-3.68708,7.76894,0.62959,-0.489504,1.09726,0.2829,-0.1936,1.2546,0.92163,-0.36985,-0.02916,-0.11382
5.50516,-1.74903,-3.48131,9.20692,0.802701,-0.125172,1.51219,0.3215,-0.2016,1.2742,0.91099,-0.3933,-0.0256,-0.12151
5.60516,-1.49301,-1.32074,9.02269,2.29838,-0.31373,1.71513,0.3606,-0.2073,1.2954,0.90239,-0.4099,-0.02547,-0.13049
5.70517,-1.48584,0.251228,9.36723,2.29518,-0.275379,1.22669,0.3993,-0.2115,1.3169,0.90006,-0.41325,-0.01727,-0.13715
5.80517,-1.62222,5.09874,7.41961,2.54127,-0.656756,1.48875,0.4366,-0.2136,1.3372,0.8978,-0.41671,-0.00807,-0.14226
5.90518,0.0430677,6.56065,7.64931,0.606154,-0.212527,1.20219,0.4733,-0.2154,1.3598,0.8933,-0.42292,-0.00985,-0.15187
6.00515,0.203375,7.24973,7.63974,1.18035,-0.149674,1.01523,0.5089,-0.2149,1.3817,0.88704,-0.43257,-0.00828,-0.16116
6.10521,-0.339756,7.92207,6.07973,0.139021,0.00585913,0.932667,0.5429,-0.2138,1.4047,0.87919,-0.44413,-0.01342,-0.17205
6.20522,-0.0334971,5.91224,6.55586,0.572064,-0.110258,0.965159,0.5752,-0.2112,1.4268,0.86195,-0.47193,-0.03472,-0.182
6.3052,0.313437,6.03666,5.90985,-0.206668,-0.19708,1.13667,0.6085,-0.2055,1.4535,0.87079,-0.44854,-0.02709,-0.1995
6.40549,1.54565,3.16548,7.28323,-0.61947,-0.242888,-0.0346222,0.6394,-0.2057,1.4714,0.84736,-0.48646,-0.035,-0.21003
6.50534,0.971416,4.1034,7.54642,-0.973681,-0.232235,-0.255671,0.6708,-0.2018,1.4906,0.83883,-0.49734,-0.03886,-0.21795
6.60522,0.978594,4.34745,7.64452,-1.28475,-0.545965,-0.935863,0.7042,-0.197,1.5114,0.83592,-0.50207,-0.03498,-0.21895
6.70523,-2.13903,3.83063,9.64238,-2.20623,0.43038,-1.66559,0.7359,-0.1866,1.5237,0.83164,-0.50668,-0.03503,-0.22455
6.8052,-0.870925,1.57197,11.3651,-1.97453,-0.258867,-1.81207,0.7667,-0.1749,1.5332,0.82842,-0.51231,-0.03387,-0.22385
6.90522,-1.43798,4.08186,10.487,-1.5042,-0.671137,-1.51272,0.7984,-0.16,1.5407,0.83135,-0.51194,-0.02855,-0.21437
7.00521,0.710617,1.77295,9.19257,-1.57451,-1.2725,-0.582717,0.8313,-0.1443,1.5465,0.83404,-0.50894,-0.03471,-0.21014
7.10525,1.78253,1.17958,6.54151,-0.943853,-1.32363,-0.281771,0.8645,-0.1265,1.5511,0.84102,-0.50023,-0.04203,-0.20173
7.20524,3.67033,-0.138774,5.7639,-0.918819,-0.550759,0.193884,0.8983,-0.1058,1.553,0.85114,-0.48529,-0.06072,-0.1907
7.30527,3.46934,0.0693869,4.31156,-0.385105,-0.270053,0.406943,0.9314,-0.0818,1.5493,0.8615,-0.46994,-0.07837,-0.1756
7.40529,4.17518,-0.971416,3.07695,0.234898,-0.472992,0.292424,0.963,-0.0513,1.5474,0.89734,-0.4132,-0.07412,-0.13619
7.50524,3.00996,-1.24418,2.20602,-0.158729,-0.0133162,0.145413,0.9918,-0.0336,1.5485,0.90879,-0.39821,-0.0756,-0.09903
7.60522,6.16825,-1.78731,5.20162,0.0798973,0.217321,0.0900176,1.0256,-0.0011,1.549,0.93523,-0.33379,-0.08983,-0.07654
7.70525,4.54604,-1.17001,4.94082,1.54628,0.184296,-0.121976,1.0569,0.0276,1.5462,0.95214,-0.2887,-0.09051,-0.04354
7.80519,3.06259,-0.380432,5.29015,0.822409,1.71406,-0.782461,1.0881,0.0596,1.543,0.96628,-0.24236,-0.0864,-0.00959
7.90552,-0.657979,-0.217731,9.04422,0.167784,1.91594,-0.275379,1.118,0.0934,1.5415,0.97626,-0.19826,-0.08383,0.02428
8.00527,0.404358,0.899637,10.1472,1.77478,1.35239,-0.0282304,1.1457,0.1266,1.5417,0.98264,-0.15552,-0.0846,0.05551
8.10527,-0.820679,2.31369,10.487,0.0777667,0.918819,-0.288163,1.1709,0.1628,1.5423,0.98619,-0.11214,-0.08623,0.08618
8.20525,-2.10314,2.17013,10.0013,-0.547563,-0.503353,0.108128,1.1927,0.1987,1.5445,0.98681,-0.07229,-0.08928,0.11409
8.30528,0.11724,1.37338,9.12318,-0.648233,-0.654625,0.249279,1.2137,0.2345,1.5471,0.98586,-0.0235,-0.09197,0.13812
8.40532,0.114847,1.70596,10.0994,0.554487,0.0767014,0.471927,1.2324,0.2703,1.5508,0.98182,0.02404,-0.09185,0.16438
8.50537,-1.35903,0.945097,12.8509,0.239159,0.193884,0.247682,1.2485,0.3041,1.5558,0.97378,0.08549,-0.09774,0.1868
8.60526,-0.265584,0.502457,11.1928,-0.0479384,-0.426651,-0.0111856,1.263,0.3381,1.5622,0.96097,0.14567,-0.10589,0.20999
8.70525,1.18915,0.602948,10.2597,0.0367527,-0.0266324,0.108128,1.2755,0.3712,1.57,0.94584,0.20065,-0.10883,0.23082
8.8053,0.449818,1.37099,8.09912,-0.271651,0.233833,0.569934,1.2858,0.401,1.5782,0.93164,0.24007,-0.11676,0.24655
8.90531,2.46682,-7.72348,6.9674,1.14573,-0.37605,0.124107,1.2949,0.4272,1.5875,0.91797,0.2769,-0.12065,0.25709
9.00526,-0.846999,2.54817,7.07746,-0.0846911,-0.713216,-0.0186427,1.3017,0.4516,1.5961,0.90424,0.30764,-0.13021,0.26601
9.10541,-0.751292,0.375646,8.79778,-0.32172,1.12602,-0.0463404,1.3081,0.4709,1.605,0.88877,0.3401,-0.1346,0.27622
9.2053,0.59577,0.318223,9.28827,0.34196,-0.298283,-0.0729728,1.3133,0.4901,1.6138,0.87282,0.3741,-0.14054,0.28016
9.30531,0.0454604,1.19393,8.30968,0.20507,0.00585913,-0.0340895,1.3201,0.5054,1.6248,0.85917,0.40283,-0.14983,0.27767
9.40557,-0.373254,0.497671,8.42452,-0.186427,0.0404813,-0.019708,1.3249,0.5136,1.6356,0.85389,0.41181,-0.15655,0.27709
9.50562,-0.435463,0.179449,8.54176,0.0862891,0.0452751,0.0159795,1.3279,0.5184,1.6461,0.84814,0.42155,-0.15826,0.2791
9.60533,-0.31583,0.492886,8.42931,0.0623199,-0.0601893,0.010653,1.3319,0.519,1.6567,0.85236,0.41115,-0.16932,0.27527
9.70529,-0.311045,0.490493,8.39581,-0.0276977,-0.00213059,0,1.3352,0.5184,1.6663,0.85221,0.40985,-0.18079,0.27032
9.80528,-0.287118,0.380432,8.38863,0.01811,-0.00585913,0.00852238,1.3379,0.5212,1.6665,0.8344,0.4423,-0.19488,0.2649
9.90533,-0.282333,0.46896,8.38863,0.0356874,-0.0202406,0.00852238,1.3381,0.5143,1.6703,0.8366,0.44355,-0.20398,0.2485
10.0053,-0.375646,0.401965,8.46041,0.00479384,-0.0159795,0.00958767,1.3363,0.5067,1.669,0.83669,0.44663,-0.21665,0.23136
10.1053,-0.330186,0.385217,8.41974,0.0260998,-0.0165121,0.00639178,1.3356,0.4955,1.6703,0.84009,0.44388,-0.22648,0.21428
10.2053,-0.330186,0.456996,8.43888,0.0154468,-0.0122509,0.00852238,1.3327,0.4853,1.6658,0.83705,0.4553,-0.22707,0.20123
10.3054,-0.380432,0.428285,8.41495,0.019708,-0.0154468,0.00692443,1.3324,0.4687,1.6635,0.83929,0.4506,-0.23476,0.19348
10.4054,-0.404358,0.380432,8.38385,0.0202406,-0.0149142,0.00798973,1.3303,0.4561,1.656,0.83613,0.45836,-0.24088,0.18102
10.5054,-0.332579,0.344542,8.47477,0.0170448,-0.0143815,0.010653,1.3264,0.4313,1.6532,0.85121,0.43339,-0.24271,0.16943
10.6053,-0.277548,0.406751,8.42692,0.0202406,-0.0127836,0.00479384,1.322,0.4075,1.6456,0.85158,0.4377,-0.24658,0.14975
10.7053,-0.332579,0.466567,8.4341,0.0170448,-0.0122509,0.0117183,1.3156,0.3811,1.6368,0.85874,0.42791,-0.25016,0.12991
10.8053,-0.349327,0.43307,8.46759,0.019708,-0.0149142,0.00798973,1.3081,0.3507,1.6301,0.86258,0.42281,-0.25829,0.10236
10.9057,-0.373254,0.437855,8.48195,0.019708,-0.0154468,0.0117183,1.2993,0.3207,1.6206,0.86787,0.4173,-0.25663,0.08242
11.0054,-0.320615,0.44264,8.41735,0.0207733,-0.0149142,0.00905502,1.2887,0.287,1.6122,0.87873,0.39824,-0.2559,0.06126
11.1054,-0.318223,0.449818,8.47716,0.0175774,-0.0127836,0.00958767,1.2758,0.252,1.6005,0.88581,0.38493,-0.2561,0.03987
11.2053,-0.392395,0.390002,8.42452,0.0186427,-0.0117183,0.0101203,1.2611,0.2143,1.5917,0.88604,0.38132,-0.26332,0.01359
11.3054,-0.406751,0.356505,8.45563,0.0170448,-0.0122509,0.00852238,1.2454,0.1758,1.581,0.89169,0.37144,-0.25863,-0.00605
11.4054,-0.320615,0.366076,8.43888,0.0207733,-0.0138489,0.00585913,1.2267,0.1344,1.5702,0.89337,0.3673,-0.25731,-0.02762
11.5053,-0.306259,0.430677,8.41735,0.019708,-0.0138489,0.00958767,1.2064,0.0918,1.5586,0.89736,0.35521,-0.25747,-0.0478
11.6053,-0.289511,0.404358,8.4006,0.0202406,-0.0127836,0.00639178,1.1836,0.0475,1.5471,0.89817,0.34965,-0.25628,-0.07316
