what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.7",1410140501049
java.vendor,sysinfo,,,"Oracle Corporation",1410140501049
java.version,sysinfo,,,"1.7.0_65",1410140501049
java.vm.info,sysinfo,,,"mixed mode",1410140501049
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1410140501049
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1410140501049
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1410140501049
java.vm.specification.version,sysinfo,,,"1.7",1410140501049
java.vm.vendor,sysinfo,,,"Oracle Corporation",1410140501049
java.vm.version,sysinfo,,,"24.65-b04",1410140501049
error,log,,,"invalid value id",1410140501365
error,log,,,"Orphaned CDT build configuration [de.innot.avreclipse.configuration.app.debug.1338385468]: parent extension cfg [de.innot.avreclipse.configuration.app.debug] not found",1410140501366
error,log,,,"invalid value id",1410140501423
error,log,,,"Orphaned CDT build configuration [de.innot.avreclipse.configuration.app.release.741815399]: parent extension cfg [de.innot.avreclipse.configuration.app.release] not found",1410140501424
error,log,,,"Orphaned CDT build configuration [cdt.managedbuild.config.gnu.cross.exe.debug.1468519045]: parent extension cfg [cdt.managedbuild.config.gnu.cross.exe.debug] not found",1410140501832
error,log,,,"Orphaned CDT build configuration [cdt.managedbuild.config.gnu.cross.exe.release.1923236141]: parent extension cfg [cdt.managedbuild.config.gnu.cross.exe.release] not found",1410140501878
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1410140502804
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1410140502898
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1410140502898
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1410140502917
error,log,,,"Orphaned CDT build configuration [cdt.managedbuild.config.gnu.cross.exe.debug.1503109465]: parent extension cfg [cdt.managedbuild.config.gnu.cross.exe.debug] not found",1410140503018
error,log,,,"Orphaned CDT build configuration [cdt.managedbuild.config.gnu.cross.exe.release.2129117784]: parent extension cfg [cdt.managedbuild.config.gnu.cross.exe.release] not found",1410140503055
