what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1402416988984
os,sysinfo,,,"linux",1402416988990
arch,sysinfo,,,"x86_64",1402416988990
ws,sysinfo,,,"gtk",1402416988990
locale,sysinfo,,,"en_US",1402416988990
processors,sysinfo,,,"4",1402416988990
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1402416988990
java.runtime.version,sysinfo,,,"1.7.0_55-b14",1402416988990
java.specification.name,sysinfo,,,"Java Platform API Specification",1402416988990
java.specification.vendor,sysinfo,,,"Oracle Corporation",1402416988990
java.specification.version,sysinfo,,,"1.7",1402416988990
java.vendor,sysinfo,,,"Oracle Corporation",1402416988990
java.version,sysinfo,,,"1.7.0_55",1402416988990
java.vm.info,sysinfo,,,"mixed mode",1402416988990
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1402416988990
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1402416988990
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1402416988990
java.vm.specification.version,sysinfo,,,"1.7",1402416988990
java.vm.vendor,sysinfo,,,"Oracle Corporation",1402416988990
java.vm.version,sysinfo,,,"24.51-b03",1402416988990
error,log,,,"invalid value id",1402416989247
error,log,,,"Orphaned CDT build configuration [de.innot.avreclipse.configuration.app.debug.1338385468]: parent extension cfg [de.innot.avreclipse.configuration.app.debug] not found",1402416989247
error,log,,,"invalid value id",1402416989291
error,log,,,"Orphaned CDT build configuration [de.innot.avreclipse.configuration.app.release.741815399]: parent extension cfg [de.innot.avreclipse.configuration.app.release] not found",1402416989292
error,log,,,"Orphaned CDT build configuration [cdt.managedbuild.config.gnu.cross.exe.debug.1468519045]: parent extension cfg [cdt.managedbuild.config.gnu.cross.exe.debug] not found",1402416989355
error,log,,,"Orphaned CDT build configuration [cdt.managedbuild.config.gnu.cross.exe.release.1923236141]: parent extension cfg [cdt.managedbuild.config.gnu.cross.exe.release] not found",1402416989415
error,log,,,"Orphaned CDT build configuration [cdt.managedbuild.config.gnu.cross.exe.debug.1503109465]: parent extension cfg [cdt.managedbuild.config.gnu.cross.exe.debug] not found",1402416990396
