what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1406747259869
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406747259923
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406747261019
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406747261021
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406747261025
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1406747261998
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406747264918
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406747266601
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406747329667
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406747331384
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406747361313
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406747381486
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1406747460838
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1406747463428
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1406747466035
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1406747467629
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1406747468914
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1406747471097
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1406747472171
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1406747472576
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406747472626
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406747473562
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406747473565
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406747476196
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1406747476215
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1406749640493
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1406749640504
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1406749640505
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1406749640507
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1406749640507
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1406749640509
