what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1408472408289
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1408472410880
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1408472411861
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408472412423
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408472412481
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408472414499
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408472414501
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408472418695
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1408472418845
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1408472421608
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408472423794
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408472424746
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408472424750
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408472424767
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408472426067
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1408472426259
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1408472428026
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1408472429880
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1408472432283
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1408472432912
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1408472434193
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408472434343
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408472434415
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408472435292
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408472435294
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408472435302
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408472436446
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408472438441
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1408472438460
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1408472691478
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408472692856
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1408472695951
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408472695997
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1408472701852
