what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1402949631586
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1402949632192
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1402949633054
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1402949633245
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949633294
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949634242
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949634243
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949638219
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1402949638237
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949643255
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949645818
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1402949798178
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1402949806866
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1402949823146
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1402949826184
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1402949828395
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1402949829513
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1402949834315
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1402949835251
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1402949836198
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1402949837899
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1402949839164
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1402949839578
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949839629
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949840820
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949840822
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949843116
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1402949843140
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949846220
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949848263
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949868906
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949870674
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1402949903472
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1402949912231
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1402949913756
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1402949919575
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1402949922937
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1402949928193
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949931403
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949932623
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949932625
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1402949932664
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949937826
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1402949938545
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949940738
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949942853
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949942854
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1402949942972
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949942996
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949942999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402949944694
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1402949944894
