what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403021160505
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403021161444
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403021161446
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403021163463
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1403021163483
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403021165683
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403021168000
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403021311321
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403021311717
error,log,,,"RSEG1058",1403022676968
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403022677004
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403027891664
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403027891666
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403027897969
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1403027898003
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403027902895
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403027917983
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403027925347
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403027936166
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403027943765
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1403027945485
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1403027948142
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1403027949476
executed,command,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.actions.LaunchTerminalCommand",1403027961069
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1403027972836
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403027975158
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1403027975505
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1403027977270
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1403027978482
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403027979235
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1403027980284
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403027987050
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1403027988310
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403027988326
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403027988328
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403027990253
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403027991010
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403027991063
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403027992094
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403027992097
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403027994084
