what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1411687398835
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411687400525
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687402396
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687403955
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687403961
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687403979
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1411687406191
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1411687408020
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687410029
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687436647
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687436722
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687437421
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687438065
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411687440563
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687443068
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687485321
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1411687485408
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687515588
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411687517619
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1411687521916
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1411687523537
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411687525563
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1411687526714
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411687527945
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687529723
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687530907
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687530912
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687536232
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1411687536265
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687547239
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1411687555516
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687566652
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411687593773
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1411687596817
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1411687598042
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411687601983
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411687606981
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1411687607668
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687610609
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687611806
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687611816
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687612711
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687612778
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1411687622617
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687623285
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687625040
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1411687635180
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687641283
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1411687641316
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411687650127
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1411687652047
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687660109
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687660186
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1411687660219
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687664676
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687664737
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687664737
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687665535
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687665535
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1411687666490
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687667410
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687668500
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687668508
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687668511
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411687668584
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687673543
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687673620
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1411687673653
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687681640
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687681694
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687681695
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1411687691571
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687691898
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687691970
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1411687692003
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687692803
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1411687706322
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687707690
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687717833
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1411687721398
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1411687728803
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687728888
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687728896
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687728939
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1411687767498
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687770227
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687776702
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687778131
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1411687778188
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1411687784053
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411687786967
