what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1406750485570
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1406750486822
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1406750488504
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1406750489621
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1406750490215
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750490267
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750491075
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750491078
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750493940
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1406750493967
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750494402
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750496389
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1406750540044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750556946
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750589036
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750590281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750595044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750598349
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750602137
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1406750602290
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1406750605438
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1406750605519
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1406750605537
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1406750606381
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750622846
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750631620
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1406750631753
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1406750635373
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1406750636870
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750637732
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750638617
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1406750645376
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1406750650999
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1406750651847
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750655928
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750657888
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750657890
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1406750658073
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750658094
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750658096
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750659686
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1406750659872
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750661649
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750663308
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1406750663447
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1406750664579
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750665468
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750682692
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1406750682739
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750687420
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750688791
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1406750697356
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1406750722372
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750731559
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750733365
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1406750733524
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1406750736710
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1406750739022
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1406750740431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750741456
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1406750743824
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750743841
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750743844
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750744772
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1406750745833
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1406750746490
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1406750748499
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1406750749346
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1406750750200
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1406750751346
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750751396
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750753280
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750753281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750755773
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1406750755791
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750756324
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1406750758693
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1406750852603
