what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771398492
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771401057
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771428905
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771429720
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771431899
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771434069
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771477872
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771484022
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1402771486343
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1402771488543
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1402771492730
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1402771493771
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1402771494643
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1402771496432
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1402771497639
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1402771498023
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771498085
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771499356
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771499357
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771501325
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1402771501348
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771502042
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771503928
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771617558
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771638644
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771639935
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771642029
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771678028
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771679029
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1402771683057
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1402771695990
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1402771701750
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1402771704082
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1402771706215
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1402771707094
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1402771709379
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1402771711019
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1402771711419
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771711475
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771712195
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771712197
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771714122
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1402771714145
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771717340
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771719292
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771759404
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771764514
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1402771766443
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1402771771780
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1402771780098
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1402771781250
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1402771782779
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1402771784098
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1402771785890
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1402771787267
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1402771787513
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771787579
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771788571
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771788572
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771790214
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1402771790241
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771793078
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771795246
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771822767
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771823627
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1402771824434
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1402771876671
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1402771880223
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1402771881911
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1402771883111
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1402771885352
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1402771886789
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1402771887113
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771887170
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771888137
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771888138
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771891359
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1402771891384
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1402771893452
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1402771895388
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1402771897136
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1402771898531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1402771899015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402771899069
