what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1400794229418
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1400794229418
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1400794229418
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1400794229422
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1400794229434
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1400794229434
os,sysinfo,,,"linux",1400794229439
arch,sysinfo,,,"x86_64",1400794229439
ws,sysinfo,,,"gtk",1400794229439
locale,sysinfo,,,"en_US",1400794229439
processors,sysinfo,,,"4",1400794229439
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1400794229439
java.runtime.version,sysinfo,,,"1.7.0_55-b14",1400794229439
java.specification.name,sysinfo,,,"Java Platform API Specification",1400794229439
java.specification.vendor,sysinfo,,,"Oracle Corporation",1400794229439
java.specification.version,sysinfo,,,"1.7",1400794229439
java.vendor,sysinfo,,,"Oracle Corporation",1400794229439
java.version,sysinfo,,,"1.7.0_55",1400794229439
java.vm.info,sysinfo,,,"mixed mode",1400794229439
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1400794229439
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1400794229439
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1400794229439
java.vm.specification.version,sysinfo,,,"1.7",1400794229439
java.vm.vendor,sysinfo,,,"Oracle Corporation",1400794229439
java.vm.version,sysinfo,,,"24.51-b03",1400794229439
error,log,,,"Orphaned CDT build configuration [cdt.managedbuild.config.gnu.cross.exe.debug.1468519045]: parent extension cfg [cdt.managedbuild.config.gnu.cross.exe.debug] not found",1400794229472
error,log,,,"Orphaned CDT build configuration [cdt.managedbuild.config.gnu.cross.exe.release.1923236141]: parent extension cfg [cdt.managedbuild.config.gnu.cross.exe.release] not found",1400794229535
error,log,,,"Orphaned CDT build configuration [cdt.managedbuild.config.gnu.cross.exe.debug.1503109465]: parent extension cfg [cdt.managedbuild.config.gnu.cross.exe.debug] not found",1400794230444
error,log,,,"Orphaned CDT build configuration [cdt.managedbuild.config.gnu.cross.exe.release.2129117784]: parent extension cfg [cdt.managedbuild.config.gnu.cross.exe.release] not found",1400794230486
error,log,,,"Orphaned CDT build configuration [cdt.managedbuild.config.gnu.cross.exe.debug.191445093]: parent extension cfg [cdt.managedbuild.config.gnu.cross.exe.debug] not found",1400794230908
error,log,,,"Orphaned CDT build configuration [cdt.managedbuild.config.gnu.cross.exe.release.1823014083]: parent extension cfg [cdt.managedbuild.config.gnu.cross.exe.release] not found",1400794230939
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1400794231163
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400794234043
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1400794239578
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400794244408
started,bundle,org.eclipse.rse.core,3.1.102.R32x_v201102011435,"org.eclipse.rse.core",1400794247463
started,bundle,org.eclipse.rse.services,3.2.2.R32x_v201102011435,"org.eclipse.rse.services",1400794247512
started,bundle,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui",1400794247603
started,bundle,org.eclipse.rse.subsystems.files.core,3.2.1.v201008191400,"org.eclipse.rse.subsystems.files.core",1400794247622
