what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433457793
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433462090
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433471667
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433484342
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1402433485383
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1402433487174
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1402433501918
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1402433509315
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433510576
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433527907
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1402433533312
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1402433534717
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1402433535584
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1402433538148
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1402433539324
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1402433539618
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433539682
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433540450
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433540451
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433545773
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1402433545907
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1402433546887
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433550812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433552760
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433590601
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433596306
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433605663
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433626182
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1402433627820
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1402433635812
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1402433641610
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1402433642585
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1402433643706
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1402433646648
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1402433647748
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1402433648295
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433648362
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433649176
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433649178
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433655090
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1402433655244
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1402433656272
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1402433657483
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1402433660231
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433660306
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433660995
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433660997
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433661373
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1402433661391
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433667074
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433669171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433720012
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433729968
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433736428
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433757305
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1402433758787
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1402433760508
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1402433782237
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1402433786105
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1402433787092
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1402433787997
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1402433788786
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1402433789783
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1402433792531
activated,view,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui.view.systemView",1402433793825
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1402433794291
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433794373
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433795165
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433795167
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433798588
activated,view,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui.view.TerminalView",1402433798610
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433801572
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433803564
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433912910
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433918038
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402433923700
error,log,,,"RSEG1058",1402435290802
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402436801168
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402436801171
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402436838510
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1402436838700
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.opendecl",1402436849297
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1402436849420
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1402436849492
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.opendecl",1402436856364
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1402436856491
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1402436856554
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.opendecl",1402436864211
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1402436864321
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1402436869700
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1402436922754
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1402436922755
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1402436924532
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1402436924533
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1402436927469
