t ax ay az w1 w2 w3
0.726562 0.392395 0.222517 8.496304 1.251259 -0.732444 0.488296
0.734163 0.370861 0.186627 8.603974 1.220740 -0.732444 0.549333
0.742451 0.291903 0.157915 8.575262 1.190222 -0.549333 0.671407
0.750053 0.330186 0.193805 8.532194 1.159703 -0.610370 0.579852
0.758220 0.275155 0.122025 8.697287 1.037629 -0.640889 0.640889
0.765828 0.220124 0.145952 8.541765 1.190222 -0.793481 0.579852
0.773435 0.215339 0.133988 8.438881 1.129185 -0.640889 0.488296
0.781034 0.260799 0.136381 8.448451 1.098666 -0.732444 0.549333
0.789205 0.246443 0.141166 8.565691 1.159703 -0.457778 0.549333
0.796793 0.306259 0.150737 8.572869 1.129185 -0.457778 0.610370
0.804388 0.337364 0.169878 8.513053 1.281777 -0.732444 0.640889
0.812680 0.394787 0.165093 8.529801 1.312296 -0.671407 0.762963
0.820276 0.366076 0.193805 8.630293 1.495407 -0.671407 0.854518
0.828446 0.358898 0.224909 8.522623 1.464888 -0.579852 0.732444
0.836046 0.332579 0.074172 8.565691 1.586962 -0.701926 0.976592
0.843651 0.267977 0.148344 8.426917 1.434370 -0.793481 1.403851
0.851809 0.215339 0.150737 8.498697 1.373333 -0.732444 1.617481
0.859405 0.179449 0.157915 8.534587 1.281777 -0.671407 1.739555
0.867011 0.253621 0.181841 8.493912 1.129185 -0.824000 1.403851
0.875180 0.354112 -0.011963 8.570476 1.373333 -0.701926 1.892148
0.882783 0.385217 0.112455 8.580047 1.312296 -0.671407 1.770074
0.890381 0.200983 0.301474 8.479556 1.586962 -0.427259 1.434370
0.898552 0.378039 0.346934 8.458022 1.403851 -0.610370 0.366222
0.906155 0.337364 0.157915 8.496304 1.312296 -0.518815 0.854518
0.914319 0.246443 0.253621 8.536979 1.495407 -0.610370 0.610370
0.921921 0.313437 0.155522 8.474770 1.281777 -0.518815 0.640889
0.930031 0.318223 0.205768 8.532194 1.434370 -0.701926 0.488296
0.938450 0.256014 0.181841 8.584832 1.281777 -0.579852 0.518815
0.947314 0.315830 0.069387 8.568084 1.403851 -0.793481 0.824000
0.955475 0.356505 0.167486 8.503482 1.434370 -0.610370 0.671407
0.963083 0.289511 0.100491 8.417347 1.373333 -0.640889 1.098666
0.970684 0.394787 0.062209 8.515445 1.342814 -0.488296 1.831111
0.978856 0.311045 0.136381 8.642256 1.434370 -0.366222 1.861629
0.986460 0.203375 0.361290 8.560906 0.701926 -0.488296 -0.030519
0.994734 0.279940 0.275155 8.520231 1.037629 -0.579852 0.305185
1.003243 0.282333 0.203375 8.551335 1.373333 -0.640889 0.610370
1.011428 0.306259 0.141166 8.534587 1.403851 -0.427259 0.457778
1.019037 0.272762 0.167486 8.580047 1.312296 -0.640889 0.396741
1.027217 0.339756 0.169878 8.493912 1.312296 -0.701926 0.488296
1.034823 0.339756 0.165093 8.548943 1.281777 -0.549333 0.457778
1.044690 0.265584 0.129203 8.548943 1.373333 -0.671407 0.579852
1.054024 0.229695 0.100491 8.563298 1.281777 -0.610370 0.305185
1.062842 0.294296 0.145952 8.553728 1.251259 -0.640889 0.000000
1.071864 0.351720 0.205768 8.558513 1.220740 -0.396741 -0.488296
1.080195 0.299081 0.177056 8.565691 1.190222 -0.640889 -0.061037
1.087829 0.232087 0.208161 8.493912 1.434370 -0.579852 0.152593
1.096044 0.186627 0.172271 8.477163 1.312296 -0.701926 -0.030519
1.103679 0.239265 0.145952 8.539372 1.312296 -0.671407 0.030519
1.111284 0.205768 0.124418 8.465200 1.373333 -0.640889 0.152593
1.119416 0.301474 0.138774 8.589618 1.403851 -0.579852 0.396741
1.127870 0.325401 0.186627 8.544157 1.403851 -0.457778 0.427259
1.136742 0.346934 0.217731 8.563298 1.251259 -0.549333 0.305185
1.145789 0.234480 0.186627 8.551335 1.403851 -0.640889 0.152593
1.154522 0.239265 0.246443 8.529801 1.281777 -0.762963 -0.152593
1.162932 0.318223 0.157915 8.565691 1.312296 -0.701926 -1.007111
1.170762 0.318223 0.148344 8.599188 1.373333 -0.732444 0.152593
1.179354 0.416321 0.287118 8.529801 1.312296 -0.610370 0.610370
1.186958 0.339756 0.227302 8.587225 1.159703 -0.732444 0.701926
1.195126 0.272762 0.184234 8.498697 1.525925 -0.671407 0.610370
1.202717 0.296689 0.234480 8.548943 1.434370 -0.488296 0.762963
1.210889 0.227302 0.117240 8.558513 1.312296 -0.579852 0.549333
1.218490 0.234480 0.143559 8.580047 1.312296 -0.671407 0.549333
1.226084 0.267977 0.165093 8.529801 1.403851 -0.549333 0.549333
1.234244 0.356505 0.119633 8.570476 1.373333 -0.549333 0.793481
1.241848 0.394787 0.181841 8.498697 1.342814 -0.488296 0.518815
1.249442 0.330186 0.136381 8.410169 1.373333 -0.640889 0.518815
